"{'ALTITUDE-DEG': 35.91608384709, 'AZIMUTH-DEG': 227.23181524614, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18688629322, 'DECLINATION-DEG': 0.35568390162, 'DRA_COSDEC-DEG_PER_SEC': -0.05880847437, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468576273, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.2117341606697, 4396.5699352008605, 4384.595941136976], 'PHASE_ANGLE-DEG': 89.26896719072, 'RANGE-KM': 1814.892246484732, 'RANGE_RATE-KM_PER_SEC': -3.671572201838, 'RIGHT_ASCENSION-DEG': 71.56551756382, 'SATELLITE_GCRS_KM': [-848.3174869878605, 6118.299392761639, 4395.862457005539], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.05386146985, 'AZIMUTH-DEG': 227.43956682646, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18757927055, 'DECLINATION-DEG': 0.56164354627, 'DRA_COSDEC-DEG_PER_SEC': -0.05915896389, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246870359, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.5643828987086, 4396.45501699167, 4384.596770400676], 'PHASE_ANGLE-DEG': 89.30427646253, 'RANGE-KM': 1810.863239534781, 'RANGE_RATE-KM_PER_SEC': -3.653739445218, 'RIGHT_ASCENSION-DEG': 71.50063277233, 'SATELLITE_GCRS_KM': [-848.0156157175353, 6113.66330287728, 4402.347525730954], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.0663881245, 'AZIMUTH-DEG': 227.45852999927, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18764229117, 'DECLINATION-DEG': 0.58040084035, 'DRA_COSDEC-DEG_PER_SEC': -0.05919091767, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246871516, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.5964343824794, 4396.444570772036, 4384.596845770726], 'PHASE_ANGLE-DEG': 89.30749970635, 'RANGE-KM': 1810.498020351606, 'RANGE_RATE-KM_PER_SEC': -3.652112572067, 'RIGHT_ASCENSION-DEG': 71.49471621324, 'SATELLITE_GCRS_KM': [-847.9881323965336, 6113.241597360898, 4402.9367062268875], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.07892049025, 'AZIMUTH-DEG': 227.47751432435, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.187705343, 'DECLINATION-DEG': 0.59917198763, 'DRA_COSDEC-DEG_PER_SEC': -0.05922290067, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468726737, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.6284986881387, 4396.434120114837, 4384.596921170936], 'PHASE_ANGLE-DEG': 89.31072658642, 'RANGE-KM': 1810.132817002104, 'RANGE_RATE-KM_PER_SEC': -3.650484030263, 'RIGHT_ASCENSION-DEG': 71.48879405597, 'SATELLITE_GCRS_KM': [-847.9606302636994, 6112.8196662562, 4403.526083473894], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.09144847909, 'AZIMUTH-DEG': 227.49650453963, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18776837533, 'DECLINATION-DEG': 0.61794188716, 'DRA_COSDEC-DEG_PER_SEC': -0.05925488718, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246873831, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.660550019558, 4396.423673427759, 4384.596996540648], 'PHASE_ANGLE-DEG': 89.31395450725, 'RANGE-KM': 1809.767923396294, 'RANGE_RATE-KM_PER_SEC': -3.648855130427, 'RIGHT_ASCENSION-DEG': 71.48287106266, 'SATELLITE_GCRS_KM': [-847.9331314449483, 6112.397849013744, 4404.115183308203], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.11651146873, 'AZIMUTH-DEG': 227.53453324157, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18789448264, 'DECLINATION-DEG': 0.65550815344, 'DRA_COSDEC-DEG_PER_SEC': -0.05931892217, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468761457, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.7246653518607, 4396.40277514841, 4384.597147309894], 'PHASE_ANGLE-DEG': 89.32041866743, 'RANGE-KM': 1809.038478334977, 'RANGE_RATE-KM_PER_SEC': -3.645593632682, 'RIGHT_ASCENSION-DEG': 71.47101302723, 'SATELLITE_GCRS_KM': [-847.8780994931378, 6111.553877192663, 4405.293499001461], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.12904645872, 'AZIMUTH-DEG': 227.55357176106, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18795755756, 'DECLINATION-DEG': 0.6743045264, 'DRA_COSDEC-DEG_PER_SEC': -0.05935097069, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468773033, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.7567293525824, 4396.392323555983, 4384.597222709427], 'PHASE_ANGLE-DEG': 89.32365490979, 'RANGE-KM': 1808.673927213442, 'RANGE_RATE-KM_PER_SEC': -3.643961033611, 'RIGHT_ASCENSION-DEG': 71.46507797793, 'SATELLITE_GCRS_KM': [-847.8505663544861, 6111.131722576788, 4405.882714817147], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.1415770481, 'AZIMUTH-DEG': 227.57261619281, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18802061273, 'DECLINATION-DEG': 0.69309964378, 'DRA_COSDEC-DEG_PER_SEC': -0.05938302269, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468784605, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.7887803793737, 4396.381875933991, 4384.597298078462], 'PHASE_ANGLE-DEG': 89.3268921914, 'RANGE-KM': 1808.309685979046, 'RANGE_RATE-KM_PER_SEC': -3.642328075864, 'RIGHT_ASCENSION-DEG': 71.45914208853, 'SATELLITE_GCRS_KM': [-847.823036543399, 6110.70968192852, 4406.47165326352], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.15411331616, 'AZIMUTH-DEG': 227.59168187536, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18808369889, 'DECLINATION-DEG': 0.71190863301, 'DRA_COSDEC-DEG_PER_SEC': -0.05941510399, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246879618, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.8208442276627, 4396.37142387394, 4384.597373477657], 'PHASE_ANGLE-DEG': 89.33013311828, 'RANGE-KM': 1807.945461580568, 'RANGE_RATE-KM_PER_SEC': -3.64069344571, 'RIGHT_ASCENSION-DEG': 71.45320057935, 'SATELLITE_GCRS_KM': [-847.7954879031475, 6110.2874155802865, 4407.060788331195], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.17918269499, 'AZIMUTH-DEG': 227.62984637073, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18820986239, 'DECLINATION-DEG': 0.7495379704, 'DRA_COSDEC-DEG_PER_SEC': -0.05947930283, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246881933, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.884958797936, 4396.350523256834, 4384.597524245208], 'PHASE_ANGLE-DEG': 89.33662069728, 'RANGE-KM': 1807.217649872162, 'RANGE_RATE-KM_PER_SEC': -3.637421794159, 'RIGHT_ASCENSION-DEG': 71.44131024976, 'SATELLITE_GCRS_KM': [-847.7403784565388, 6109.442885187685, 4408.238700348644], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.19171579383, 'AZIMUTH-DEG': 227.64894519463, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18827293969, 'DECLINATION-DEG': 0.76835831463, 'DRA_COSDEC-DEG_PER_SEC': -0.0595114204, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.24688309, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.9170095198776, 4396.340074700002, 4384.597599613566], 'PHASE_ANGLE-DEG': 89.33986734862, 'RANGE-KM': 1806.854062632861, 'RANGE_RATE-KM_PER_SEC': -3.635784773628, 'RIGHT_ASCENSION-DEG': 71.43536142731, 'SATELLITE_GCRS_KM': [-847.7128176568527, 6109.020621194979, 4408.827477321541], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.20425454945, 'AZIMUTH-DEG': 227.66806533513, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18833604773, 'DECLINATION-DEG': 0.78719254303, 'DRA_COSDEC-DEG_PER_SEC': -0.05954356728, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468842478, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.9490730632854, 4396.329621704705, 4384.5976750120835], 'PHASE_ANGLE-DEG': 89.34311765123, 'RANGE-KM': 1806.490492900056, 'RANGE_RATE-KM_PER_SEC': -3.634146076698, 'RIGHT_ASCENSION-DEG': 71.42940697063, 'SATELLITE_GCRS_KM': [-847.6852380168851, 6108.598131428866, 4409.416450827792], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.21678886862, 'AZIMUTH-DEG': 227.68719142105, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18839913579, 'DECLINATION-DEG': 0.80602550395, 'DRA_COSDEC-DEG_PER_SEC': -0.05957571763, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468854045, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.9811236329401, 4396.319172680408, 4384.597750380103], 'PHASE_ANGLE-DEG': 89.34636899077, 'RANGE-KM': 1806.127233268416, 'RANGE_RATE-KM_PER_SEC': -3.632507022532, 'RIGHT_ASCENSION-DEG': 71.42345166774, 'SATELLITE_GCRS_KM': [-847.6576617243683, 6108.175755787406, 4410.005147031252], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.22932883355, 'AZIMUTH-DEG': 227.70633885656, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18846225452, 'DECLINATION-DEG': 0.8248723552, 'DRA_COSDEC-DEG_PER_SEC': -0.05960789734, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246886562, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.0131870238954, 4396.30871921749, 4384.597825778282], 'PHASE_ANGLE-DEG': 89.34962398455, 'RANGE-KM': 1805.763991478468, 'RANGE_RATE-KM_PER_SEC': -3.630866290514, 'RIGHT_ASCENSION-DEG': 71.41749072337, 'SATELLITE_GCRS_KM': [-847.6300665859735, 6107.753154335327, 4410.594039724795], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.24186435001, 'AZIMUTH-DEG': 227.72549224851, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18852535316, 'DECLINATION-DEG': 0.84371793495, 'DRA_COSDEC-DEG_PER_SEC': -0.05964008051, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468877197, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.0452374411573, 4396.298269725762, 4384.597901145961], 'PHASE_ANGLE-DEG': 89.35288001449, 'RANGE-KM': 1805.401059861114, 'RANGE_RATE-KM_PER_SEC': -3.629225201509, 'RIGHT_ASCENSION-DEG': 71.41152893078, 'SATELLITE_GCRS_KM': [-847.602474802043, 6107.330667060516, 4411.182655137293], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.25440550115, 'AZIMUTH-DEG': 227.74466702311, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18858848238, 'DECLINATION-DEG': 0.86257741118, 'DRA_COSDEC-DEG_PER_SEC': -0.05967229305, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468888774, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.0773006796562, 4396.287815795226, 4384.5979765438005], 'PHASE_ANGLE-DEG': 89.35613970165, 'RANGE-KM': 1805.038146420812, 'RANGE_RATE-KM_PER_SEC': -3.627582432874, 'RIGHT_ASCENSION-DEG': 71.40556148942, 'SATELLITE_GCRS_KM': [-847.57486416607, 6106.907953937466, 4411.771466997265], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.26694219174, 'AZIMUTH-DEG': 227.76384776513, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18865159139, 'DECLINATION-DEG': 0.88143561183, 'DRA_COSDEC-DEG_PER_SEC': -0.05970450904, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468900345, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.1093509444188, 4396.277365836102, 4384.5980519111445], 'PHASE_ANGLE-DEG': 89.35940042416, 'RANGE-KM': 1804.675543225491, 'RANGE_RATE-KM_PER_SEC': -3.625939307112, 'RIGHT_ASCENSION-DEG': 71.3995931978, 'SATELLITE_GCRS_KM': [-847.5472568913652, 6106.485355045353, 4412.36000159653], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.29202234734, 'AZIMUTH-DEG': 227.80225805908, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.1887778501, 'DECLINATION-DEG': 0.91917853871, 'DRA_COSDEC-DEG_PER_SEC': -0.05976900326, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468923493, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.1734641429057, 4396.25646101137, 4384.598202675647], 'PHASE_ANGLE-DEG': 89.36593022416, 'RANGE-KM': 1803.950684176897, 'RANGE_RATE-KM_PER_SEC': -3.622649337046, 'RIGHT_ASCENSION-DEG': 71.38764445018, 'SATELLITE_GCRS_KM': [-847.4920079946623, 6105.639819773339, 4413.537186365179], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.30456580118, 'AZIMUTH-DEG': 227.82148764411, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18884099968, 'DECLINATION-DEG': 0.93806327106, 'DRA_COSDEC-DEG_PER_SEC': -0.05980128149, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246893507, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.2055270764695, 4396.246006145607, 4384.598278072809], 'PHASE_ANGLE-DEG': 89.36919930461, 'RANGE-KM': 1803.588428659284, 'RANGE_RATE-KM_PER_SEC': -3.621002490864, 'RIGHT_ASCENSION-DEG': 71.38166398687, 'SATELLITE_GCRS_KM': [-847.4643663670394, 6105.216883355754, 4414.125836491949], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.31710477023, 'AZIMUTH-DEG': 227.84072321867, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18890412887, 'DECLINATION-DEG': 0.95694671972, 'DRA_COSDEC-DEG_PER_SEC': -0.05983356318, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246894664, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.2375770365097, 4396.235555251601, 4384.598353439475], 'PHASE_ANGLE-DEG': 89.37246941882, 'RANGE-KM': 1803.226483529374, 'RANGE_RATE-KM_PER_SEC': -3.619355287933, 'RIGHT_ASCENSION-DEG': 71.3756826692, 'SATELLITE_GCRS_KM': [-847.436728113865, 6104.794061273943, 4414.714209402236], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.32964934034, 'AZIMUTH-DEG': 227.8599802751, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18896728839, 'DECLINATION-DEG': 0.97584408309, 'DRA_COSDEC-DEG_PER_SEC': -0.0598658743, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468958218, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1423.2696398175938, 4396.225099918226, 4384.598428836299], 'PHASE_ANGLE-DEG': 89.37574319915, 'RANGE-KM': 1802.864557585926, 'RANGE_RATE-KM_PER_SEC': -3.617706401522, 'RIGHT_ASCENSION-DEG': 71.36969568092, 'SATELLITE_GCRS_KM': [-847.4090709919394, 6104.371013233336, 4415.302778628692], 'TLE-DATE': '2024-03-08 00:36:11'}"
