"{'ALTITUDE-DEG': 48.33513998784, 'AZIMUTH-DEG': 286.93832778658, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.23007029649, 'DECLINATION-DEG': 40.89485165626, 'DRA_COSDEC-DEG_PER_SEC': -0.13858074317, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253065972, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.1975070025246, 4364.12794889517, 4384.821382261153], 'PHASE_ANGLE-DEG': 97.83123845571, 'RANGE-KM': 1528.728196351694, 'RANGE_RATE-KM_PER_SEC': 0.686816679068, 'RIGHT_ASCENSION-DEG': 51.82243861019, 'SATELLITE_GCRS_KM': [-803.9300863772578, 5272.531746561602, 5385.638293858494], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.26529403448, 'AZIMUTH-DEG': 287.66136392453, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22905166375, 'DECLINATION-DEG': 41.30807068354, 'DRA_COSDEC-DEG_PER_SEC': -0.13946127924, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530868053, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.7702941259881, 4363.927291063426, 4384.822729703397], 'PHASE_ANGLE-DEG': 97.93717093102, 'RANGE-KM': 1530.00955171423, 'RANGE_RATE-KM_PER_SEC': 0.736889688052, 'RIGHT_ASCENSION-DEG': 51.49035714202, 'SATELLITE_GCRS_KM': [-803.1634483718562, 5263.2576763172065, 5394.793486114637], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.26127216649, 'AZIMUTH-DEG': 287.70144668836, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22899394255, 'DECLINATION-DEG': 41.3309777681, 'DRA_COSDEC-DEG_PER_SEC': -0.13951013123, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253087963, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.802121261883, 4363.9161389586625, 4384.822804574636], 'PHASE_ANGLE-DEG': 97.94304990515, 'RANGE-KM': 1530.083394472869, 'RANGE_RATE-KM_PER_SEC': 0.739668223172, 'RIGHT_ASCENSION-DEG': 51.47178120105, 'SATELLITE_GCRS_KM': [-803.1207790510471, 5262.741889313606, 5395.301740996267], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.25723716902, 'AZIMUTH-DEG': 287.74150321247, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22893612696, 'DECLINATION-DEG': 41.35386986251, 'DRA_COSDEC-DEG_PER_SEC': -0.1395589553, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.25308912, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.8339355138269, 4363.904991107911, 4384.8228794155775], 'PHASE_ANGLE-DEG': 97.9489257221, 'RANGE-KM': 1530.157485249082, 'RANGE_RATE-KM_PER_SEC': 0.742445224895, 'RIGHT_ASCENSION-DEG': 51.45319970051, 'SATELLITE_GCRS_KM': [-803.0781195571922, 5262.226261708022, 5395.8097420282675], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.25318580419, 'AZIMUTH-DEG': 287.78156570187, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.228882763, 'DECLINATION-DEG': 41.37676537927, 'DRA_COSDEC-DEG_PER_SEC': -0.13961061891, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253090278, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.865762487075, 4363.893838538975, 4384.822954286453], 'PHASE_ANGLE-DEG': 97.95480310805, 'RANGE-KM': 1530.231883631789, 'RANGE_RATE-KM_PER_SEC': 0.745237802849, 'RIGHT_ASCENSION-DEG': 51.43459767605, 'SATELLITE_GCRS_KM': [-803.0354355571355, 5261.710378512302, 5396.3178980607645], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.24911970247, 'AZIMUTH-DEG': 287.82161800134, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22882009642, 'DECLINATION-DEG': 41.39965509325, 'DRA_COSDEC-DEG_PER_SEC': -0.1396566178, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530914354, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.8975893788834, 4363.882685737943, 4384.823029157148], 'PHASE_ANGLE-DEG': 97.96067969541, 'RANGE-KM': 1530.30655981948, 'RANGE_RATE-KM_PER_SEC': 0.74800020983, 'RIGHT_ASCENSION-DEG': 51.41598259322, 'SATELLITE_GCRS_KM': [-802.9927442167786, 5261.194447219775, 5396.826004649974], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.24504051802, 'AZIMUTH-DEG': 287.86164397241, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22876192814, 'DECLINATION-DEG': 41.42252978879, 'DRA_COSDEC-DEG_PER_SEC': -0.13970541687, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530925926, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.9294033869319, 4363.871537191168, 4384.823103997545], 'PHASE_ANGLE-DEG': 97.96655311793, 'RANGE-KM': 1530.381483564118, 'RANGE_RATE-KM_PER_SEC': 0.750775955555, 'RIGHT_ASCENSION-DEG': 51.39736193841, 'SATELLITE_GCRS_KM': [-802.9500627135268, 5260.678675397467, 5397.333857435265], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.24094497749, 'AZIMUTH-DEG': 287.90167579565, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22870823132, 'DECLINATION-DEG': 41.44540786441, 'DRA_COSDEC-DEG_PER_SEC': -0.13975701887, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.25309375, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.9612301161806, 4363.860383925933, 4384.823178867878], 'PHASE_ANGLE-DEG': 97.97242809987, 'RANGE-KM': 1530.456715124519, 'RANGE_RATE-KM_PER_SEC': 0.75356767085, 'RIGHT_ASCENSION-DEG': 51.37872071577, 'SATELLITE_GCRS_KM': [-802.9073566965071, 5260.162647941144, 5397.841865147467], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.23683638554, 'AZIMUTH-DEG': 287.94168123162, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22864521567, 'DECLINATION-DEG': 41.46827090271, 'DRA_COSDEC-DEG_PER_SEC': -0.13980300941, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530949074, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.9930439616328, 4363.849234915179, 4384.823253707911], 'PHASE_ANGLE-DEG': 97.97829991188, 'RANGE-KM': 1530.532193934096, 'RANGE_RATE-KM_PER_SEC': 0.756327297746, 'RIGHT_ASCENSION-DEG': 51.36007391293, 'SATELLITE_GCRS_KM': [-802.8646605231431, 5259.646780004422, 5398.349619085045], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.23271144522, 'AZIMUTH-DEG': 287.98169244447, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22858667136, 'DECLINATION-DEG': 41.49113729284, 'DRA_COSDEC-DEG_PER_SEC': -0.13985180278, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253096065, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1519.0248705281206, 4363.838081185813, 4384.823328577881], 'PHASE_ANGLE-DEG': 97.9841732769, 'RANGE-KM': 1530.607980697908, 'RANGE_RATE-KM_PER_SEC': 0.75910289089, 'RIGHT_ASCENSION-DEG': 51.341406513, 'SATELLITE_GCRS_KM': [-802.8219398311145, 5259.130656405663, 5398.857527899264], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.22857348486, 'AZIMUTH-DEG': 288.02167721171, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2285326422, 'DECLINATION-DEG': 41.51398862696, 'DRA_COSDEC-DEG_PER_SEC': -0.1399033627, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253097222, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1519.056684211068, 4363.826931711046, 4384.823403417553], 'PHASE_ANGLE-DEG': 97.99004346694, 'RANGE-KM': 1530.684014402864, 'RANGE_RATE-KM_PER_SEC': 0.761892383444, 'RIGHT_ASCENSION-DEG': 51.32273352456, 'SATELLITE_GCRS_KM': [-802.7792289895116, 5258.614692372761, 5399.365182971158], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.22441918394, 'AZIMUTH-DEG': 288.06166768081, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22847383821, 'DECLINATION-DEG': 41.53684328468, 'DRA_COSDEC-DEG_PER_SEC': -0.13995217956, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.25309838, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1519.0885106148858, 4363.815777517515, 4384.82347828716], 'PHASE_ANGLE-DEG': 97.99591520363, 'RANGE-KM': 1530.760356200336, 'RANGE_RATE-KM_PER_SEC': 0.76466694837, 'RIGHT_ASCENSION-DEG': 51.30403990969, 'SATELLITE_GCRS_KM': [-802.7364936236515, 5258.098472648667, 5399.87299287063], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.22025189451, 'AZIMUTH-DEG': 288.10163164593, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22841038111, 'DECLINATION-DEG': 41.55968286755, 'DRA_COSDEC-DEG_PER_SEC': -0.13999809259, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253099537, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1519.120324135226, 4363.804627578772, 4384.823553126468], 'PHASE_ANGLE-DEG': 98.00178376026, 'RANGE-KM': 1530.836944629896, 'RANGE_RATE-KM_PER_SEC': 0.767424875995, 'RIGHT_ASCENSION-DEG': 51.28534069814, 'SATELLITE_GCRS_KM': [-802.6937681152912, 5257.582412540358, 5400.380549056473], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.21606827247, 'AZIMUTH-DEG': 288.14160123823, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22835136709, 'DECLINATION-DEG': 41.58252574589, 'DRA_COSDEC-DEG_PER_SEC': -0.14004685179, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2531006946, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1519.1521503763647, 4363.793472921082, 4384.823627995714], 'PHASE_ANGLE-DEG': 98.0076538572, 'RANGE-KM': 1530.913841289534, 'RANGE_RATE-KM_PER_SEC': 0.770198756258, 'RIGHT_ASCENSION-DEG': 51.26662083075, 'SATELLITE_GCRS_KM': [-802.6510180775211, 5257.06609670978, 5400.888260022638], 'TLE-DATE': '2024-03-08 00:36:11'}"
