"{'ALTITUDE-DEG': 56.10179115655, 'AZIMUTH-DEG': 116.34534074364, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27414219485, 'DECLINATION-DEG': 23.26755803984, 'DRA_COSDEC-DEG_PER_SEC': 0.08478041819, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.20371066, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.65570843869496, 4622.497193704873, 4381.516894721358], 'PHASE_ANGLE-DEG': 37.08170414017, 'RANGE-KM': 1408.051039451366, 'RANGE_RATE-KM_PER_SEC': -1.770009138515, 'RIGHT_ASCENSION-DEG': 124.37635523643, 'SATELLITE_GCRS_KM': [-840.0195155166978, 5690.111491010921, 4937.732816102907], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.25124364111, 'AZIMUTH-DEG': 115.84757869784, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2747322704, 'DECLINATION-DEG': 23.56943635783, 'DRA_COSDEC-DEG_PER_SEC': 0.08531037999, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203723391, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.02647037659233, 4622.487561190582, 4381.517762304077], 'PHASE_ANGLE-DEG': 37.08524888842, 'RANGE-KM': 1406.121760561683, 'RANGE_RATE-KM_PER_SEC': -1.737811913148, 'RIGHT_ASCENSION-DEG': 124.47829973676, 'SATELLITE_GCRS_KM': [-839.6185130615153, 5684.912369213215, 4943.769826839203], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.26474467845, 'AZIMUTH-DEG': 115.80205612784, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27478533522, 'DECLINATION-DEG': 23.59691793119, 'DRA_COSDEC-DEG_PER_SEC': 0.08535868444, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037245487, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.06018336603242, 4622.486683840256, 4381.517841192509], 'PHASE_ANGLE-DEG': 37.08567917765, 'RANGE-KM': 1405.948091123559, 'RANGE_RATE-KM_PER_SEC': -1.734877597152, 'RIGHT_ASCENSION-DEG': 124.4876125979, 'SATELLITE_GCRS_KM': [-839.5820042406334, 5684.4393061895025, 4944.318494787862], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.27822537303, 'AZIMUTH-DEG': 115.75650827375, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27483827964, 'DECLINATION-DEG': 23.62439374969, 'DRA_COSDEC-DEG_PER_SEC': 0.08540698866, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203725706, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.09388278782023, 4622.485806597108, 4381.517920049202], 'PHASE_ANGLE-DEG': 37.08612733278, 'RANGE-KM': 1405.774784913153, 'RANGE_RATE-KM_PER_SEC': -1.731943358832, 'RIGHT_ASCENSION-DEG': 124.49692893389, 'SATELLITE_GCRS_KM': [-839.5455024344715, 5683.966381519557, 4944.866896754424], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.29169653698, 'AZIMUTH-DEG': 115.71089847281, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2748911461, 'DECLINATION-DEG': 23.65188591678, 'DRA_COSDEC-DEG_PER_SEC': 0.08545533154, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037268635, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.12759576435677, 4622.484928755109, 4381.517998937623], 'PHASE_ANGLE-DEG': 37.08659372619, 'RANGE-KM': 1405.601702558763, 'RANGE_RATE-KM_PER_SEC': -1.729006837981, 'RIGHT_ASCENSION-DEG': 124.50625625049, 'SATELLITE_GCRS_KM': [-839.5089782661121, 5683.493214583401, 4945.415474104558], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.31858843542, 'AZIMUTH-DEG': 115.61956636551, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27499655923, 'DECLINATION-DEG': 23.7068750259, 'DRA_COSDEC-DEG_PER_SEC': 0.08555205545, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037291783, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.19500813718162, 4622.483172686803, 4381.518156682714], 'PHASE_ANGLE-DEG': 37.08758053858, 'RANGE-KM': 1405.256488586479, 'RANGE_RATE-KM_PER_SEC': -1.723131677331, 'RIGHT_ASCENSION-DEG': 124.52492885407, 'SATELLITE_GCRS_KM': [-839.4359216050777, 5682.546915221886, 4946.512272228562], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.33200910686, 'AZIMUTH-DEG': 115.5738440863, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27504910566, 'DECLINATION-DEG': 23.73437194383, 'DRA_COSDEC-DEG_PER_SEC': 0.08560043646, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037303355, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.22870753336731, 4622.4822944607, 4381.518235539386], 'PHASE_ANGLE-DEG': 37.08810096619, 'RANGE-KM': 1405.084356951686, 'RANGE_RATE-KM_PER_SEC': -1.7201930412, 'RIGHT_ASCENSION-DEG': 124.53427415061, 'SATELLITE_GCRS_KM': [-839.39938911916, 5682.073782845861, 4947.060493030173], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.34542007313, 'AZIMUTH-DEG': 115.52805977449, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27510157341, 'DECLINATION-DEG': 23.76188517893, 'DRA_COSDEC-DEG_PER_SEC': 0.08564885616, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203731493, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.26242048438763, 4622.481415635344, 4381.518314427785], 'PHASE_ANGLE-DEG': 37.08863970755, 'RANGE-KM': 1404.912450085448, 'RANGE_RATE-KM_PER_SEC': -1.717252126742, 'RIGHT_ASCENSION-DEG': 124.54363047005, 'SATELLITE_GCRS_KM': [-839.3628342598668, 5681.600408138527, 4947.608889121073], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.35881050741, 'AZIMUTH-DEG': 115.48225026038, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27515391985, 'DECLINATION-DEG': 23.7893925867, 'DRA_COSDEC-DEG_PER_SEC': 0.08569727553, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037326507, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.29611986776149, 4622.480536917762, 4381.518393284446], 'PHASE_ANGLE-DEG': 37.08919634071, 'RANGE-KM': 1404.740906397274, 'RANGE_RATE-KM_PER_SEC': -1.71431129985, 'RIGHT_ASCENSION-DEG': 124.55299029291, 'SATELLITE_GCRS_KM': [-839.3262864360787, 5681.127171936293, 4948.157019309145], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.37219114907, 'AZIMUTH-DEG': 115.43637867192, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2752061871, 'DECLINATION-DEG': 23.81691629591, 'DRA_COSDEC-DEG_PER_SEC': 0.08574573357, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203733808, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.32983280596261, 4622.479657600729, 4381.518472172833], 'PHASE_ANGLE-DEG': 37.08977132508, 'RANGE-KM': 1404.569587932928, 'RANGE_RATE-KM_PER_SEC': -1.711368195829, 'RIGHT_ASCENSION-DEG': 124.56236115995, 'SATELLITE_GCRS_KM': [-839.2897162333327, 5680.65369336853, 4948.705324741304], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.3855511956, 'AZIMUTH-DEG': 115.39048191016, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27525833291, 'DECLINATION-DEG': 23.84443415352, 'DRA_COSDEC-DEG_PER_SEC': 0.08579419127, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203734965, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.36353217651629, 4622.47877839167, 4381.518551029481], 'PHASE_ANGLE-DEG': 37.09036420947, 'RANGE-KM': 1404.398632628637, 'RANGE_RATE-KM_PER_SEC': -1.708425183695, 'RIGHT_ASCENSION-DEG': 124.57173553998, 'SATELLITE_GCRS_KM': [-839.2531530729333, 5680.18035335631, 4949.253364297079], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.39890136185, 'AZIMUTH-DEG': 115.34452303333, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27531039909, 'DECLINATION-DEG': 23.87196829664, 'DRA_COSDEC-DEG_PER_SEC': 0.08584268764, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037361227, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.39724510178696, 4622.477898582964, 4381.518629917858], 'PHASE_ANGLE-DEG': 37.09097548237, 'RANGE-KM': 1404.227903003725, 'RANGE_RATE-KM_PER_SEC': -1.705479896209, 'RIGHT_ASCENSION-DEG': 124.5811209855, 'SATELLITE_GCRS_KM': [-839.2165675282405, 5679.706770945992, 4949.801579049802], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.41223086982, 'AZIMUTH-DEG': 115.2985390131, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27536234355, 'DECLINATION-DEG': 23.89949656385, 'DRA_COSDEC-DEG_PER_SEC': 0.08589118365, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.20373728, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.43094445961776, 4622.477018882424, 4381.518708774496], 'PHASE_ANGLE-DEG': 37.0916046633, 'RANGE-KM': 1404.057536520048, 'RANGE_RATE-KM_PER_SEC': -1.702534704015, 'RIGHT_ASCENSION-DEG': 124.5905099536, 'SATELLITE_GCRS_KM': [-839.1799890327384, 5679.2333271416655, 4950.3495279525905], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.42555040972, 'AZIMUTH-DEG': 115.25249283797, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27541420791, 'DECLINATION-DEG': 23.92704110057, 'DRA_COSDEC-DEG_PER_SEC': 0.0859397183, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037384375, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.46465737205305, 4622.476138582045, 4381.518787662861], 'PHASE_ANGLE-DEG': 37.09225226987, 'RANGE-KM': 1403.887396170786, 'RANGE_RATE-KM_PER_SEC': -1.699587238111, 'RIGHT_ASCENSION-DEG': 124.59991000853, 'SATELLITE_GCRS_KM': [-839.1433881472368, 5678.759640906749, 4950.897652005161], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.43885457668, 'AZIMUTH-DEG': 115.20640300173, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27546597118, 'DECLINATION-DEG': 23.95459081998, 'DRA_COSDEC-DEG_PER_SEC': 0.08598827213, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203739595, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.49837027806771, 4622.475258035775, 4381.5188665512205], 'PHASE_ANGLE-DEG': 37.09291806375, 'RANGE-KM': 1403.717550681954, 'RANGE_RATE-KM_PER_SEC': -1.696638685218, 'RIGHT_ASCENSION-DEG': 124.60931738126, 'SATELLITE_GCRS_KM': [-839.1067795902454, 5678.285902755887, 4951.44573069068], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.45213799059, 'AZIMUTH-DEG': 115.16028806855, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27551761232, 'DECLINATION-DEG': 23.98213462692, 'DRA_COSDEC-DEG_PER_SEC': 0.08603682553, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037407523, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.53206961664478, 4622.47437759797, 4381.518945407842], 'PHASE_ANGLE-DEG': 37.09360177727, 'RANGE-KM': 1403.548068304836, 'RANGE_RATE-KM_PER_SEC': -1.693690233008, 'RIGHT_ASCENSION-DEG': 124.61872829104, 'SATELLITE_GCRS_KM': [-839.0701780929195, 5677.812303286058, 4951.993543566623], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.46541130449, 'AZIMUTH-DEG': 115.11411092222, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27556917276, 'DECLINATION-DEG': 24.00969467929, 'DRA_COSDEC-DEG_PER_SEC': 0.0860854176, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.20374191, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.56578250981289, 4622.4734965600255, 4381.519024296191], 'PHASE_ANGLE-DEG': 37.0943039718, 'RANGE-KM': 1403.378812743726, 'RANGE_RATE-KM_PER_SEC': -1.690739509772, 'RIGHT_ASCENSION-DEG': 124.62815031981, 'SATELLITE_GCRS_KM': [-839.0335541974281, 5677.338461335439, 4952.541531523224], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.4919061116, 'AZIMUTH-DEG': 115.02164424914, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2756719679, 'DECLINATION-DEG': 24.0648191395, 'DRA_COSDEC-DEG_PER_SEC': 0.08618263956, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037442247, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.63319471586117, 4622.471734101123, 4381.519182041137], 'PHASE_ANGLE-DEG': 37.09576273283, 'RANGE-KM': 1403.041255073566, 'RANGE_RATE-KM_PER_SEC': -1.684836003675, 'RIGHT_ASCENSION-DEG': 124.64701261124, 'SATELLITE_GCRS_KM': [-838.9602981350291, 5676.390812383378, 4953.637150904333], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.50512754156, 'AZIMUTH-DEG': 114.97535475547, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27572320222, 'DECLINATION-DEG': 24.0923835228, 'DRA_COSDEC-DEG_PER_SEC': 0.08623126938, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203745382, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.66689402863994, 4622.470852680363, 4381.519260897736], 'PHASE_ANGLE-DEG': 37.09651930659, 'RANGE-KM': 1402.872952943565, 'RANGE_RATE-KM_PER_SEC': -1.681883223634, 'RIGHT_ASCENSION-DEG': 124.65645288359, 'SATELLITE_GCRS_KM': [-838.9236659751335, 5675.917005432898, 4954.184782354691], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.51833869508, 'AZIMUTH-DEG': 114.92900297429, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27577435511, 'DECLINATION-DEG': 24.11996411906, 'DRA_COSDEC-DEG_PER_SEC': 0.08627993789, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037465395, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.7006068961996, 4622.469970659068, 4381.519339786061], 'PHASE_ANGLE-DEG': 37.09729443456, 'RANGE-KM': 1402.704878537278, 'RANGE_RATE-KM_PER_SEC': -1.678928177124, 'RIGHT_ASCENSION-DEG': 124.66590431796, 'SATELLITE_GCRS_KM': [-838.887011406248, 5675.442955936037, 4954.732588791987], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.53152890583, 'AZIMUTH-DEG': 114.88262619527, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27582538505, 'DECLINATION-DEG': 24.14753872937, 'DRA_COSDEC-DEG_PER_SEC': 0.08632860589, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037476967, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-110.73430619611992, 4622.469088746833, 4381.51941864265], 'PHASE_ANGLE-DEG': 37.098087504, 'RANGE-KM': 1402.537167178937, 'RANGE_RATE-KM_PER_SEC': -1.675973241747, 'RIGHT_ASCENSION-DEG': 124.67535931846, 'SATELLITE_GCRS_KM': [-838.8503639171716, 5674.969045271538, 4955.280129499169], 'TLE-DATE': '2024-03-08 00:36:11'}"
